ticket_id,text,category,priority,sentiment
1,My payment was charged twice please refund,billing,high,negative
2,I cannot login to my account password reset not working,account,high,negative
3,How do I change my subscription plan,billing,low,neutral
4,The app crashes when I open settings,technical,high,negative
5,I want to cancel my subscription,billing,medium,negative
6,Shipping is delayed by 2 weeks,shipping,medium,negative
7,I received the wrong item in my order,shipping,high,negative
8,Can you update my email address,account,low,neutral
9,The website is very slow today,technical,medium,negative
10,I was charged after cancelling my subscription,billing,high,negative
11,How do I track my order,shipping,low,neutral
12,My account was hacked someone changed my password,account,high,negative
13,The mobile app keeps freezing on Android,technical,high,negative
14,I need an invoice for my last purchase,billing,low,neutral
15,Package arrived damaged need replacement,shipping,high,negative
16,Two factor authentication is not sending codes,account,medium,negative
17,Your API returns 500 error on the /users endpoint,technical,high,negative
18,I want to upgrade from basic to premium plan,billing,low,positive
19,Order stuck in processing for 5 days,shipping,medium,negative
20,Cannot change my profile picture upload fails,technical,medium,negative
21,Refund not received after 10 business days,billing,high,negative
22,How to delete my account permanently,account,medium,neutral
23,App notification sounds not working on iOS,technical,low,negative
24,Delivery address is wrong can I change it,shipping,medium,neutral
25,I see unauthorized charges on my credit card,billing,high,negative
26,Cannot connect my Google account for SSO login,account,medium,negative
27,Search function returns no results for any query,technical,high,negative
28,Express shipping option not available in my area,shipping,low,neutral
29,I need to update my billing credit card,billing,low,neutral
30,Forgot my username how to recover it,account,medium,neutral
31,Page takes 30 seconds to load on desktop browser,technical,medium,negative
32,International shipping rates are too expensive,shipping,low,negative
33,Double charged for annual subscription renewal,billing,high,negative
34,My account is locked after too many login attempts,account,high,negative
35,Dark mode not working properly colors are wrong,technical,low,negative
36,Package returned to sender wrong address on label,shipping,high,negative
37,How to apply a discount coupon code,billing,low,neutral
38,Cannot verify my phone number for account setup,account,medium,negative
39,File upload feature broken for PDFs over 5MB,technical,medium,negative
40,Same day delivery not showing as option anymore,shipping,medium,negative
41,Subscription auto-renewed but I wanted to cancel,billing,high,negative
42,Need to merge two duplicate accounts,account,medium,neutral
43,Video player buffering constantly on all browsers,technical,medium,negative
44,Return label not working QR code expired,shipping,medium,negative
45,Tax calculation seems incorrect on my invoice,billing,medium,negative
46,Cannot change my account language settings,account,low,neutral
47,SSL certificate warning when accessing your site,technical,high,negative
48,Package lost in transit no tracking updates for a week,shipping,high,negative
49,Monthly charge increased without any notification,billing,high,negative
50,Session expires too quickly have to login every 5 min,account,medium,negative
51,Payment declined but my card works everywhere else,billing,medium,negative
52,My order was delivered to the wrong address,shipping,high,negative
53,App freezes when uploading large images,technical,medium,negative
54,I need help resetting my security questions,account,medium,neutral
55,Promo code not applying the correct discount,billing,medium,negative
56,Tracking number shows delivered but I did not receive,shipping,high,negative
57,Dashboard charts not loading showing blank page,technical,medium,negative
58,I want to change my account username,account,low,neutral
59,Being charged for features I do not use,billing,medium,negative
60,Estimated delivery date keeps changing every day,shipping,medium,negative
61,I was billed twice for the same order this month,billing,high,negative
62,Two charges of 49.99 appeared on my statement yesterday,billing,high,negative
63,Refund promised three weeks ago has still not arrived,billing,high,negative
